product_id,product_name,category,base_price,cost,launch_date,is_active,rating,review_count,supplier
P0001,Wireless Earbuds Pro,Electronics,186.52,134.39,2023-04-17,True,4.3,126,SupplierC
P0002,Smart Watch X2,Electronics,119.06,93.51,2023-04-27,True,4.5,774,SupplierD
P0003,USB-C Hub 7-in-1,Electronics,299.03,244.6,2023-01-21,True,4.3,257,SupplierD
P0004,Bluetooth Speaker Mini,Electronics,100.17,77.8,2023-06-19,False,5.0,194,SupplierB
P0005,LED Desk Lamp,Electronics,287.42,235.58,2023-02-24,True,4.0,651,SupplierA
P0006,Webcam HD 1080p,Electronics,205.19,173.23,2023-03-30,True,4.7,781,SupplierB
P0007,Mechanical Keyboard,Electronics,118.5,89.55,2023-04-21,True,4.3,780,SupplierC
P0008,Gaming Mouse,Electronics,137.1,108.91,2023-02-19,True,3.8,570,SupplierB
P0009,Phone Stand Adjustable,Electronics,233.98,196.98,2023-05-26,True,4.9,1000,SupplierB
P0010,Portable Charger 20k,Electronics,273.19,219.34,2023-02-09,True,4.5,883,SupplierA
P0011,Screen Protector Kit,Electronics,238.66,171.5,2023-05-04,True,3.7,69,SupplierA
P0012,Cable Organizer Set,Electronics,336.98,250.73,2023-05-16,False,4.7,597,SupplierD
P0013,WiFi Extender,Electronics,273.62,203.62,2023-01-05,True,4.4,1056,SupplierC
P0014,Smart Plug 4-Pack,Electronics,303.35,238.64,2023-02-02,False,3.8,809,SupplierC
P0015,Dash Cam HD,Electronics,239.78,194.16,2023-02-04,True,3.4,647,SupplierA
P0016,Fitness Tracker Band,Electronics,271.83,221.5,2023-05-22,True,4.1,1043,SupplierB
P0017,Tablet Stand,Electronics,100.75,83.8,2023-03-04,True,4.1,1025,SupplierD
P0018,Laptop Cooling Pad,Electronics,265.39,219.64,2023-05-23,True,3.6,1188,SupplierC
P0019,RGB LED Strip,Electronics,165.69,136.65,2023-03-07,True,3.7,1017,SupplierB
P0020,Solar Power Bank,Electronics,206.67,168.88,2023-03-25,True,4.2,194,SupplierA
P0021,Classic Cotton Tee,Apparel,57.2,27.31,2023-05-01,True,4.7,714,SupplierD
P0022,Running Shorts Pro,Apparel,80.02,41.96,2023-02-20,True,3.6,1141,SupplierB
P0023,Yoga Pants Women,Apparel,118.14,45.7,2023-02-08,True,3.7,956,SupplierA
P0024,Zip Hoodie Fleece,Apparel,56.74,21.72,2023-02-23,False,3.8,389,SupplierC
P0025,Compression Socks,Apparel,92.79,47.42,2023-06-09,True,4.3,207,SupplierD
P0026,Athletic Tank Top,Apparel,54.2,24.62,2023-01-24,True,5.0,986,SupplierC
P0027,Cycling Jersey,Apparel,104.61,45.41,2023-05-04,True,4.5,664,SupplierD
P0028,Trail Running Shoes,Apparel,92.52,60.99,2023-05-27,True,3.4,493,SupplierA
P0029,Waterproof Jacket,Apparel,68.13,35.08,2023-04-14,True,3.8,477,SupplierB
P0030,Casual Sneakers,Apparel,114.04,46.91,2023-04-09,True,3.5,628,SupplierA
P0031,Sports Bra High Impact,Apparel,78.5,46.23,2023-05-09,True,4.8,1065,SupplierD
P0032,Swim Trunks Quick-Dry,Apparel,88.64,50.2,2023-04-09,True,4.7,408,SupplierD
P0033,Winter Gloves Touch,Apparel,68.73,28.07,2023-04-26,True,3.5,108,SupplierD
P0034,Baseball Cap UV,Apparel,84.08,46.81,2023-04-09,True,3.7,882,SupplierB
