date,product_id,category,units_sold,unit_price,discount_pct,revenue,cogs,gross_margin,channel,country,returned
2023-04-17,P0001,Electronics,26,186.52,0.0,4849.52,3494.14,1355.38,Social Media,Australia,0
2023-04-18,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Direct,United States,0
2023-04-19,P0001,Electronics,52,186.52,0.0,9699.04,6988.28,2710.76,Email,United Kingdom,0
2023-04-20,P0001,Electronics,21,186.52,0.0,3916.92,2822.19,1094.73,Paid Ads,United Kingdom,0
2023-04-21,P0001,Electronics,9,186.52,0.0,1678.68,1209.51,469.17,Email,Canada,0
2023-04-22,P0001,Electronics,60,186.52,0.0,11191.2,8063.4,3127.8,Email,United Kingdom,0
2023-04-23,P0001,Electronics,48,186.52,0.0,8952.96,6450.72,2502.24,Organic Search,Canada,0
2023-04-24,P0001,Electronics,35,177.19,5.0,6201.79,4703.65,1498.14,Organic Search,Australia,0
2023-04-25,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Email,Canada,0
2023-04-26,P0001,Electronics,30,186.52,0.0,5595.6,4031.7,1563.9,Organic Search,United States,0
2023-04-27,P0001,Electronics,13,186.52,0.0,2424.76,1747.07,677.69,Direct,United States,0
2023-04-28,P0001,Electronics,44,186.52,0.0,8206.88,5913.16,2293.72,Organic Search,Germany,0
2023-04-29,P0001,Electronics,38,186.52,0.0,7087.76,5106.82,1980.94,Organic Search,United Kingdom,0
2023-04-30,P0001,Electronics,32,186.52,0.0,5968.64,4300.48,1668.16,Direct,France,0
2023-05-01,P0001,Electronics,22,186.52,0.0,4103.44,2956.58,1146.86,Paid Ads,United States,0
2023-05-02,P0001,Electronics,41,177.19,5.0,7264.95,5509.99,1754.96,Organic Search,United States,0
2023-05-03,P0001,Electronics,14,186.52,0.0,2611.28,1881.46,729.82,Paid Ads,United States,0
2023-05-04,P0001,Electronics,7,186.52,0.0,1305.64,940.73,364.91,Organic Search,United States,0
2023-05-05,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Paid Ads,Netherlands,0
2023-05-06,P0001,Electronics,23,186.52,0.0,4289.96,3090.97,1198.99,Paid Ads,United States,0
2023-05-07,P0001,Electronics,16,186.52,0.0,2984.32,2150.24,834.08,Paid Ads,United States,0
2023-05-08,P0001,Electronics,11,186.52,0.0,2051.72,1478.29,573.43,Paid Ads,United States,0
2023-05-09,P0001,Electronics,13,186.52,0.0,2424.76,1747.07,677.69,Social Media,United States,0
2023-05-10,P0001,Electronics,66,186.52,0.0,12310.32,8869.74,3440.58,Organic Search,Germany,0
2023-05-11,P0001,Electronics,24,186.52,0.0,4476.48,3225.36,1251.12,Organic Search,United States,0
2023-05-12,P0001,Electronics,38,186.52,0.0,7087.76,5106.82,1980.94,Paid Ads,Germany,0
2023-05-13,P0001,Electronics,54,186.52,0.0,10072.08,7257.06,2815.02,Direct,United States,0
2023-05-14,P0001,Electronics,34,167.87,10.0,5707.51,4569.26,1138.25,Organic Search,United States,1
2023-05-15,P0001,Electronics,11,186.52,0.0,2051.72,1478.29,573.43,Social Media,United States,0
2023-05-16,P0001,Electronics,48,186.52,0.0,8952.96,6450.72,2502.24,Organic Search,United Kingdom,0
2023-05-17,P0001,Electronics,12,186.52,0.0,2238.24,1612.68,625.56,Social Media,United States,0
2023-05-18,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Social Media,United States,1
2023-05-19,P0001,Electronics,54,186.52,0.0,10072.08,7257.06,2815.02,Organic Search,Australia,0
2023-05-20,P0001,Electronics,41,186.52,0.0,7647.32,5509.99,2137.33,Organic Search,United States,0
2023-05-21,P0001,Electronics,14,186.52,0.0,2611.28,1881.46,729.82,Email,Australia,0
2023-05-22,P0001,Electronics,26,186.52,0.0,4849.52,3494.14,1355.38,Direct,Germany,0
2023-05-23,P0001,Electronics,17,186.52,0.0,3170.84,2284.63,886.21,Paid Ads,United States,0
2023-05-24,P0001,Electronics,26,186.52,0.0,4849.52,3494.14,1355.38,Email,United States,0
